date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:19	184779/184779	---MCZ	200	added ('OK')	text/html	etag:W/%2263b952d9-2d1cb%22	https://htmldemo.net/presiden/presiden/index.html	C:/My%20Web%20Sites/fashion4/htmldemo.net/presiden/presiden/index.html	(from )
22:07:19	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Nov%202023%2015:07:20%20GMT	https://htmldemo.net/robots.txt		(from )
22:07:20	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263b95321-47e%22	https://htmldemo.net/presiden/presiden/assets/img/favicon.ico	C:/My%20Web%20Sites/fashion4/htmldemo.net/presiden/presiden/assets/img/favicon.ico	(from https://htmldemo.net/presiden/presiden/index.html)
22:07:20	194859/194859	---MCZ	200	added ('OK')	text/css	etag:W/%2263b952f7-2f92b%22	https://htmldemo.net/presiden/presiden/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/fashion4/htmldemo.net/presiden/presiden/assets/css/bootstrap.min.css	(from https://htmldemo.net/presiden/presiden/index.html)
22:07:21	3401/3401	---MCZ	200	added ('OK')	text/css	etag:W/%2263b952fd-d49%22	https://htmldemo.net/presiden/presiden/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/fashion4/htmldemo.net/presiden/presiden/assets/css/owl.carousel.min.css	(from https://htmldemo.net/presiden/presiden/index.html)
22:07:21	1895/1895	---MCZ	200	added ('OK')	text/css	etag:W/%2263b95300-767%22	https://htmldemo.net/presiden/presiden/assets/css/slick.css	C:/My%20Web%20Sites/fashion4/htmldemo.net/presiden/presiden/assets/css/slick.css	(from https://htmldemo.net/presiden/presiden/index.html)
22:07:21	7302/7302	---MCZ	200	added ('OK')	text/css	etag:W/%2263b952fb-1c86%22	https://htmldemo.net/presiden/presiden/assets/css/magnific-popup.css	C:/My%20Web%20Sites/fashion4/htmldemo.net/presiden/presiden/assets/css/magnific-popup.css	(from https://htmldemo.net/presiden/presiden/index.html)
22:07:21	30896/30896	---MCZ	200	added ('OK')	text/css	etag:W/%2263b952f7-78b0%22	https://htmldemo.net/presiden/presiden/assets/css/font.awesome.css	C:/My%20Web%20Sites/fashion4/htmldemo.net/presiden/presiden/assets/css/font.awesome.css	(from https://htmldemo.net/presiden/presiden/index.html)
22:07:22	51303/51303	---MCZ	200	added ('OK')	text/css	etag:W/%2263b952f9-c867%22	https://htmldemo.net/presiden/presiden/assets/css/ionicons.min.css	C:/My%20Web%20Sites/fashion4/htmldemo.net/presiden/presiden/assets/css/ionicons.min.css	(from https://htmldemo.net/presiden/presiden/index.html)
22:07:22	70737/70737	---MCZ	200	added ('OK')	text/css	etag:W/%2263b952fc-11451%22	https://htmldemo.net/presiden/presiden/assets/css/material.design.min.css	C:/My%20Web%20Sites/fashion4/htmldemo.net/presiden/presiden/assets/css/material.design.min.css	(from https://htmldemo.net/presiden/presiden/index.html)
